Date,Expiry,Strike,Call,Put,Underlying Value
6-Mar-19,28-Mar-19,11450,20.3,666.35,11053
6-Mar-19,28-Mar-19,11500,15.4,422.8,11053
7-Mar-19,28-Mar-19,11550,9.55,736.15,11058.2
7-Mar-19,28-Mar-19,11600,6.9,499.8,11058.2
7-Mar-19,28-Mar-19,11650,5.85,809.6,11058.2
7-Mar-19,28-Mar-19,11700,3.8,595.2,11058.2
7-Mar-19,28-Mar-19,11750,131.45,885.15,11058.2
7-Mar-19,28-Mar-19,11800,3.3,681.4,11058.2
7-Mar-19,28-Mar-19,11850,111.9,963.75,11058.2
7-Mar-19,28-Mar-19,11900,2.7,805.9,11058.2
7-Mar-19,28-Mar-19,11950,94.75,1044.75,11058.2
7-Mar-19,28-Mar-19,12000,2.8,892.6,11058.2
7-Mar-19,28-Mar-19,12050,79.9,1128.05,11058.2
7-Mar-19,28-Mar-19,12100,2,1015,11058.2
7-Mar-19,28-Mar-19,12150,67.05,1213.35,11058.2
7-Mar-19,28-Mar-19,12200,1.6,1103.8,11058.2
7-Mar-19,28-Mar-19,12250,19.95,1300.45,11058.2
7-Mar-19,28-Mar-19,12300,2.5,1534.4,11058.2
7-Mar-19,28-Mar-19,12350,7.4,1319.1,11058.2
7-Mar-19,28-Mar-19,12400,1.5,1296.25,11058.2
7-Mar-19,28-Mar-19,12450,7.85,1325.6,11058.2
7-Mar-19,28-Mar-19,12500,1.4,1392.65,11058.2
7-Mar-19,28-Mar-19,12550,3.65,1361.2,11058.2
7-Mar-19,28-Mar-19,12600,198.75,1690.85,11058.2
7-Mar-19,28-Mar-19,12700,0.4,1808.9,11058.2
7-Mar-19,28-Mar-19,12800,1.9,1822,11058.2
7-Mar-19,28-Mar-19,12900,1.05,1797.5,11058.2
7-Mar-19,28-Mar-19,13000,1.05,1863.3,11058.2
7-Mar-19,28-Mar-19,13100,80.35,1680.95,11058.2
7-Mar-19,28-Mar-19,13200,58.4,1645.8,11058.2
7-Mar-19,28-Mar-19,13300,1.5,1719.55,11058.2
7-Mar-19,28-Mar-19,13400,3,1741.3,11058.2
7-Mar-19,28-Mar-19,13500,2.95,2700,11058.2
7-Mar-19,28-Mar-19,13600,3,1799,11058.2
7-Mar-19,28-Mar-19,13700,2,1799.15,11058.2
7-Mar-19,28-Mar-19,13800,3,1813.35,11058.2
7-Mar-19,28-Mar-19,13900,19.85,1832.05,11058.2
7-Mar-19,28-Mar-19,14000,1.3,2885.9,11058.2
7-Mar-19,28-Mar-19,14100,1,3004.3,11058.2
7-Mar-19,28-Mar-19,7600,3491.35,1.65,11058.2
7-Mar-19,28-Mar-19,7700,2970.55,7.75,11058.2
7-Mar-19,28-Mar-19,7800,2879.65,9.75,11058.2
7-Mar-19,28-Mar-19,7900,2789.15,1.6,11058.2
7-Mar-19,28-Mar-19,8000,3078,2.9,11058.2
7-Mar-19,28-Mar-19,8100,2609.7,18.4,11058.2
7-Mar-19,28-Mar-19,8200,2520.85,22.4,11058.2
7-Mar-19,28-Mar-19,8300,2432.65,27.1,11058.2
7-Mar-19,28-Mar-19,8400,2345.25,32.55,11058.2
7-Mar-19,28-Mar-19,8500,2578.55,3.05,11058.2
7-Mar-19,28-Mar-19,8600,2487.95,3,11058.2
7-Mar-19,28-Mar-19,8700,2357.5,3.05,11058.2
7-Mar-19,28-Mar-19,8800,2005,63.8,11058.2
7-Mar-19,28-Mar-19,8900,1922.75,74.4,11058.2
7-Mar-19,28-Mar-19,9000,2081.55,4,11058.2
7-Mar-19,28-Mar-19,9100,1732.15,3.05,11058.2
7-Mar-19,28-Mar-19,9150,1685.15,6.15,11058.2
7-Mar-19,28-Mar-19,9200,1865,4,11058.2
7-Mar-19,28-Mar-19,9250,1589.45,8.7,11058.2
7-Mar-19,28-Mar-19,9300,1756.85,3.6,11058.2
7-Mar-19,28-Mar-19,9350,1615.35,13.25,11058.2
7-Mar-19,28-Mar-19,9400,1653.25,4,11058.2
